Date,Lo 30,Med 40,Hi 30
2018-11-29,   -0.24,   -0.10,   -0.44
2018-11-30,    1.00,    0.76,    0.38
2018-12-03,    1.27,    1.10,    0.82
2018-12-04,   -3.53,   -3.03,   -4.19
2018-12-06,    0.29,   -0.50,   -1.22
2018-12-07,   -2.79,   -1.97,   -1.64
2018-12-10,    0.62,   -0.21,   -1.45
2018-12-11,    0.13,   -0.18,   -0.64
2018-12-12,    0.73,    0.72,    0.44
2018-12-13,   -0.11,   -0.37,   -0.62
2018-12-14,   -2.25,   -1.48,   -1.23
2018-12-17,   -2.41,   -1.91,   -1.28
2018-12-18,    0.48,   -0.53,   -0.62
2018-12-19,   -1.72,   -1.33,   -1.45
2018-12-20,   -1.71,   -1.55,   -0.97
2018-12-21,   -2.46,   -1.70,   -1.93
2018-12-24,   -2.41,   -2.90,   -2.52
2018-12-26,    5.57,    4.42,    4.75
2018-12-27,    0.84,    0.72,    0.77
2018-12-28,   -0.08,   -0.02,    0.09
2018-12-31,    1.05,    0.73,    0.75
2019-01-02,    0.00,    0.26,    1.12
2019-01-03,   -2.90,   -1.89,   -1.80
2019-01-04,    3.80,    3.28,    3.22
2019-01-07,    1.07,    0.80,    0.67
2019-01-08,    1.25,    0.96,    0.25
2019-01-09,    0.44,    0.63,    0.63
2019-01-10,    0.47,    0.38,    0.18
2019-01-11,   -0.19,    0.27,    0.12
2019-01-14,   -0.75,   -0.67,    0.26
2019-01-15,    1.43,    0.56,    0.63
2019-01-16,    0.02,    0.29,    1.49
2019-01-17,    0.82,    0.80,    0.61
2019-01-18,    1.26,    1.24,    1.67
2019-01-22,   -1.59,   -1.43,   -1.41
2019-01-23,    0.21,    0.25,   -0.21
2019-01-24,    0.14,    0.28,    0.51
2019-01-25,    1.06,    0.62,    0.89
2019-01-28,   -1.06,   -0.65,   -0.32
2019-01-29,   -0.49,    0.34,   -0.09
2019-01-30,    2.06,    1.02,    0.71
2019-01-31,    1.16,    0.99,   -0.06
2019-02-01,   -0.09,    0.47,    0.50
2019-02-04,    1.02,    0.26,    0.48
2019-02-05,    0.67,    0.33,   -0.19
2019-02-06,   -0.27,   -0.02,   -0.29
2019-02-07,   -0.97,   -0.83,   -1.03
2019-02-08,    0.22,    0.02,   -0.48
2019-02-11,    0.08,    0.26,    0.30
2019-02-12,    1.44,    1.19,    1.52
2019-02-13,    0.25,    0.40,    0.19
2019-02-14,   -0.19,    0.04,   -0.78
2019-02-15,    0.83,    1.37,    1.82
2019-02-19,    0.11,    0.31,    0.37
