Date,Lo 30,Med 40,Hi 30
2018-11-29,   -0.05,   -0.30,   -0.20
2018-11-30,    0.56,    0.92,    0.79
2018-12-03,    0.80,    0.79,    1.64
2018-12-04,   -2.88,   -3.17,   -3.97
2018-12-06,   -0.41,   -0.32,    0.15
2018-12-07,   -1.85,   -2.08,   -2.89
2018-12-10,   -0.04,   -0.32,    0.58
2018-12-11,   -0.11,   -0.17,    0.03
2018-12-12,    0.62,    0.46,    0.93
2018-12-13,   -0.22,   -0.24,   -0.26
2018-12-14,   -1.56,   -1.41,   -2.49
2018-12-17,   -1.94,   -1.88,   -2.42
2018-12-18,   -0.51,   -0.25,    0.45
2018-12-19,   -1.37,   -1.35,   -1.89
2018-12-20,   -1.83,   -1.38,   -1.73
2018-12-21,   -1.57,   -1.73,   -2.86
2018-12-24,   -2.56,   -2.75,   -2.32
2018-12-26,    4.45,    4.49,    5.95
2018-12-27,    1.02,    0.83,    0.66
2018-12-28,   -0.08,   -0.04,   -0.01
2018-12-31,    0.90,    0.86,    0.96
2019-01-02,    0.26,    0.30,    0.17
2019-01-03,   -2.00,   -1.66,   -3.36
2019-01-04,    3.00,    3.25,    4.12
2019-01-07,    0.74,    0.77,    1.16
2019-01-08,    0.73,    1.01,    1.16
2019-01-09,    0.39,    0.32,    0.75
2019-01-10,    0.19,    0.59,    0.33
2019-01-11,    0.14,    0.08,   -0.16
2019-01-14,   -0.76,   -0.31,   -0.77
2019-01-15,    0.79,    0.59,    1.64
2019-01-16,   -0.03,    0.48,    0.26
2019-01-17,    0.80,    0.69,    0.90
2019-01-18,    1.24,    1.37,    1.28
2019-01-22,   -1.33,   -1.14,   -1.95
2019-01-23,    0.26,    0.30,    0.01
2019-01-24,    0.06,    0.28,    0.25
2019-01-25,    0.61,    0.44,    1.49
2019-01-28,   -0.57,   -0.65,   -1.04
2019-01-29,    0.29,    0.06,   -0.62
2019-01-30,    1.00,    0.92,    2.36
2019-01-31,    1.07,    0.59,    1.17
2019-02-01,    0.65,    0.27,   -0.19
2019-02-04,    0.65,    0.49,    1.01
2019-02-05,    0.19,    0.30,    0.69
2019-02-06,    0.01,   -0.15,   -0.34
2019-02-07,   -0.71,   -0.69,   -1.23
2019-02-08,    0.10,    0.01,    0.18
2019-02-11,    0.17,    0.14,    0.14
2019-02-12,    1.17,    1.21,    1.61
2019-02-13,    0.45,    0.42,    0.07
2019-02-14,   -0.46,   -0.19,   -0.10
2019-02-15,    1.05,    1.52,    0.81
2019-02-19,    0.40,    0.19,    0.11
2019-02-20,    0.10,    0.31,    0.16
2019-02-21,   -0.31,   -0.32,   -0.40
2019-02-22,    0.30,    0.60,    0.89
2019-02-25,   -0.11,    0.15,    0.29
2019-02-26,   -0.29,   -0.15,   -0.07
2019-02-27,    0.01,    0.10,    0.15
2019-02-28,   -0.03,   -0.20,   -0.49
2019-03-01,    0.56,    0.52,    1.00
2019-03-04,   -0.50,   -0.63,   -0.38
2019-03-05,   -0.09,   -0.28,   -0.08
2019-03-06,   -0.91,   -0.79,   -0.78
2019-03-07,   -0.85,   -0.55,   -1.04
2019-03-08,   -0.48,   -0.23,   -0.08
2019-03-11,    1.31,    1.06,    1.99
2019-03-12,    0.19,    0.09,    0.45
2019-03-13,    0.76,    0.61,    0.70
2019-03-14,   -0.25,    0.02,   -0.14
2019-03-15,    0.36,    0.48,    0.48
2019-03-18,    0.49,    0.42,    0.49
2019-03-19,   -0.12,   -0.30,    0.16
2019-03-20,   -0.51,   -0.74,    0.03
2019-03-21,    1.05,    0.66,    1.54
2019-03-22,   -1.86,   -1.91,   -2.50
2019-03-25,    0.05,   -0.06,   -0.05
2019-03-26,    0.93,    0.97,    0.49
2019-03-27,   -0.51,   -0.31,   -0.62
2019-03-28,    0.47,    0.36,    0.43
2019-03-29,    0.50,    0.66,    0.74
2019-04-01,    0.91,    1.33,    1.25
2019-04-02,   -0.41,   -0.11,    0.19
2019-04-03,   -0.04,    0.32,    0.37
2019-04-04,    0.27,    0.49,   -0.08
2019-04-05,    0.69,    0.47,    0.51
2019-04-08,    0.24,   -0.01,    0.16
2019-04-09,   -0.73,   -0.73,   -0.52
2019-04-10,    0.52,    0.37,    0.58
2019-04-11,    0.16,    0.12,   -0.13
2019-04-12,    0.32,    1.06,    0.39
2019-04-15,    0.00,   -0.18,   -0.01
2019-04-16,    0.08,    0.10,    0.28
2019-04-17,   -0.72,   -0.08,   -0.32
2019-04-18,   -0.20,    0.18,    0.22
2019-04-22,   -0.08,   -0.14,    0.42
2019-04-23,    0.71,    0.70,    1.34
2019-04-24,   -0.18,   -0.09,   -0.34
2019-04-25,   -0.52,   -0.27,    0.14
2019-04-26,    0.41,    0.38,    0.72
2019-04-29,    0.03,    0.21,    0.22
2019-04-30,    0.64,    0.24,   -0.57
2019-05-01,   -0.98,   -1.04,   -0.54
2019-05-02,   -0.04,   -0.04,   -0.29
2019-05-03,    1.05,    0.83,    1.47
2019-05-06,   -0.20,   -0.35,   -0.52
2019-05-07,   -1.27,   -1.59,   -1.94
2019-05-08,   -0.15,   -0.21,   -0.21
2019-05-09,   -0.14,   -0.21,   -0.40
2019-05-10,    0.49,    0.49,    0.14
2019-05-13,   -2.16,   -2.30,   -3.17
2019-05-14,    0.88,    0.90,    0.92
2019-05-15,    0.41,    0.22,    0.98
2019-05-16,    0.75,    0.99,    0.96
2019-05-17,   -0.61,   -0.47,   -0.94
2019-05-20,   -0.43,   -0.24,   -1.06
2019-05-21,    0.72,    0.91,    1.01
2019-05-22,   -0.07,   -0.59,   -0.35
2019-05-23,   -1.20,   -1.23,   -1.51
2019-05-24,    0.28,    0.32,    0.14
2019-05-28,   -0.94,   -0.99,   -0.52
2019-05-29,   -0.62,   -0.53,   -0.87
2019-05-30,    0.19,   -0.02,    0.32
2019-05-31,   -1.06,   -1.34,   -1.51
2019-06-03,    0.77,    0.52,   -1.78
2019-06-04,    1.91,    2.25,    2.58
2019-06-05,    0.52,    0.72,    0.78
2019-06-06,    0.57,    0.47,    0.64
2019-06-07,    0.79,    0.54,    1.67
2019-06-10,    0.38,    0.33,    0.83
2019-06-11,   -0.14,   -0.07,   -0.08
2019-06-12,   -0.06,   -0.18,   -0.30
2019-06-13,    0.42,    0.51,    0.52
2019-06-14,   -0.17,   -0.13,   -0.35
2019-06-17,    0.01,   -0.18,    0.47
2019-06-18,    0.82,    1.03,    1.15
2019-06-19,    0.50,    0.13,    0.39
2019-06-20,    0.88,    0.85,    1.02
2019-06-21,   -0.31,   -0.16,   -0.19
2019-06-24,   -0.36,   -0.40,   -0.21
2019-06-25,   -0.51,   -0.87,   -1.27
2019-06-26,   -0.39,   -0.12,    0.16
2019-06-27,    0.54,    0.47,    0.69
2019-06-28,    0.64,    0.93,    0.46
2019-07-01,    0.90,    0.66,    0.75
2019-07-02,    0.17,    0.06,    0.24
2019-07-03,    0.87,    0.71,    0.82
2019-07-05,   -0.36,    0.02,   -0.01
2019-07-08,   -0.92,   -0.42,   -0.46
2019-07-09,    0.09,    0.04,    0.44
2019-07-10,    0.37,    0.16,    0.69
2019-07-11,   -0.29,    0.36,    0.39
2019-07-12,    0.36,    0.68,    0.53
2019-07-15,    0.14,   -0.16,   -0.04
2019-07-16,   -0.37,   -0.23,   -0.36
2019-07-17,   -0.62,   -0.81,   -0.44
2019-07-18,    0.83,    0.44,   -0.04
2019-07-19,   -0.60,   -0.50,   -0.59
2019-07-22,    0.39,    0.02,    0.38
2019-07-23,    0.85,    0.74,    0.43
2019-07-24,    0.59,    0.54,    0.85
2019-07-25,   -0.56,   -0.55,   -0.74
2019-07-26,    0.63,    0.57,    1.25
2019-07-29,    0.02,   -0.15,   -0.69
2019-07-30,   -0.09,   -0.17,   -0.22
2019-07-31,   -0.74,   -1.08,   -1.36
2019-08-01,   -1.15,   -1.25,   -0.70
2019-08-02,   -0.82,   -0.70,   -1.03
2019-08-05,   -3.12,   -2.80,   -3.28
2019-08-06,    1.19,    1.24,    1.44
2019-08-07,    0.21,   -0.32,    0.34
2019-08-08,    1.80,    1.76,    2.30
2019-08-09,   -0.62,   -0.75,   -0.91
2019-08-12,   -1.00,   -1.38,   -1.44
2019-08-13,    1.74,    1.18,    1.59
2019-08-14,   -2.82,   -2.82,   -3.14
2019-08-15,   -0.38,    0.52,    0.23
2019-08-16,    1.69,    1.47,    1.53
2019-08-19,    1.31,    0.98,    1.21
2019-08-20,   -0.77,   -0.78,   -0.71
2019-08-21,    0.79,    0.79,    0.97
2019-08-22,   -0.05,    0.14,   -0.33
2019-08-23,   -2.96,   -2.49,   -2.59
2019-08-26,    1.08,    0.99,    1.21
2019-08-27,   -0.42,   -0.42,   -0.52
2019-08-28,    0.79,    0.82,    0.47
2019-08-29,    1.08,    1.38,    1.53
2019-08-30,    0.14,    0.18,   -0.16
2019-09-03,   -0.68,   -0.77,   -1.05
2019-09-04,    1.15,    1.05,    1.09
2019-09-05,    1.24,    1.43,    1.57
2019-09-06,    0.14,    0.17,   -0.26
2019-09-09,    0.02,    0.54,   -0.29
2019-09-10,    0.42,    0.32,   -0.14
2019-09-11,    1.26,    0.66,    0.82
2019-09-12,    0.09,    0.24,    0.31
2019-09-13,   -0.36,    0.37,   -0.11
2019-09-16,   -0.15,   -0.36,   -0.18
2019-09-17,    0.12,    0.05,    0.35
2019-09-18,    0.11,    0.03,   -0.18
2019-09-19,   -0.12,   -0.24,    0.20
2019-09-20,   -0.31,   -0.46,   -0.60
2019-09-23,    0.12,    0.09,   -0.22
2019-09-24,   -0.74,   -0.78,   -1.37
2019-09-25,    0.59,    0.60,    0.90
2019-09-26,   -0.29,   -0.29,   -0.59
2019-09-27,   -0.28,   -0.31,   -1.09
2019-09-30,    0.72,    0.29,    0.57
2019-10-01,   -1.31,   -1.37,   -1.21
2019-10-02,   -1.82,   -1.87,   -1.53
2019-10-03,    0.92,    0.49,    1.02
2019-10-04,    1.49,    1.44,    1.31
2019-10-07,   -0.53,   -0.44,   -0.26
2019-10-08,   -1.61,   -1.61,   -1.60
2019-10-09,    0.76,    0.96,    1.02
2019-10-10,    0.51,    0.83,    0.47
2019-10-11,    1.33,    1.23,    1.17
2019-10-14,   -0.18,   -0.21,   -0.11
2019-10-15,    0.63,    0.90,    1.46
2019-10-16,   -0.15,   -0.17,   -0.34
2019-10-17,    0.31,    0.34,    0.45
2019-10-18,   -0.24,   -0.13,   -0.99
2019-10-21,    0.75,    0.80,    0.62
2019-10-22,   -0.20,    0.01,   -0.74
2019-10-23,    0.28,    0.19,    0.30
2019-10-24,   -0.17,    0.22,    0.59
2019-10-25,    0.48,    0.79,    0.30
2019-10-28,    0.58,    0.30,    1.00
2019-10-29,   -0.08,   -0.04,   -0.25
2019-10-30,    0.42,    0.00,    0.44
2019-10-31,    0.05,   -0.56,   -0.48
2019-11-01,    1.07,    1.27,    0.92
2019-11-04,    0.30,    0.50,    0.40
2019-11-05,    0.04,    0.06,   -0.13
2019-11-06,    0.15,    0.00,   -0.22
2019-11-07,    0.17,    0.46,    0.46
2019-11-08,    0.51,    0.10,    0.39
2019-11-11,   -0.25,   -0.16,   -0.17
2019-11-12,    0.15,   -0.02,    0.36
2019-11-13,    0.05,    0.12,   -0.13
2019-11-14,   -0.34,    0.06,    0.37
2019-11-15,    0.94,    0.45,    0.89
2019-11-18,   -0.07,   -0.03,    0.17
2019-11-19,    0.04,   -0.08,    0.12
2019-11-20,   -0.46,   -0.39,   -0.18
2019-11-21,   -0.18,   -0.14,   -0.09
2019-11-22,    0.31,    0.26,    0.21
2019-11-25,    1.01,    0.66,    1.11
2019-11-26,    0.03,    0.15,    0.34
2019-11-27,    0.56,    0.33,    0.49
2019-11-29,   -0.29,   -0.45,   -0.47
2019-12-02,   -0.78,   -0.65,   -1.11
2019-12-03,   -0.86,   -0.86,   -0.32
2019-12-04,    0.87,    0.62,    0.43
2019-12-05,    0.28,    0.24,   -0.05
2019-12-06,    1.07,    0.92,    0.84
2019-12-09,   -0.43,   -0.27,   -0.32
