Date,Lo 30,Med 40,Hi 30
2018-11-29,   -0.52,   -0.16,   -0.21
2018-11-30,    0.31,    0.63,    0.84
2018-12-03,    0.96,    1.10,    1.14
2018-12-04,   -4.29,   -4.20,   -3.33
2018-12-06,   -0.23,   -0.44,   -0.11
2018-12-07,   -1.78,   -2.20,   -2.39
2018-12-10,   -0.30,   -0.48,    0.20
2018-12-11,   -0.40,   -0.28,   -0.03
2018-12-12,    1.25,    1.17,    0.62
2018-12-13,   -1.79,   -1.51,   -0.04
2018-12-14,   -1.55,   -1.62,   -1.92
2018-12-17,   -2.21,   -2.34,   -2.07
2018-12-18,   -0.46,   -0.02,    0.00
2018-12-19,   -1.95,   -1.87,   -1.53
2018-12-20,   -2.00,   -1.63,   -1.58
2018-12-21,   -2.56,   -2.46,   -2.10
2018-12-24,   -1.38,   -2.09,   -2.63
2018-12-26,    4.34,    5.11,    5.09
2018-12-27,   -0.04,    0.45,    0.86
2018-12-28,    1.14,    0.10,   -0.08
2018-12-31,    0.81,    1.00,    0.90
2019-01-02,    1.57,    0.24,    0.20
2019-01-03,   -1.82,   -1.94,   -2.52
2019-01-04,    3.78,    3.77,    3.52
2019-01-07,    1.93,    1.72,    0.81
2019-01-08,    1.16,    1.52,    0.95
2019-01-09,    0.80,    0.96,    0.46
2019-01-10,    0.05,    0.63,    0.40
2019-01-11,    0.24,    0.13,   -0.03
2019-01-14,   -1.15,   -0.63,   -0.55
2019-01-15,    0.91,    0.79,    1.09
2019-01-16,    0.50,    0.63,    0.24
2019-01-17,    0.73,    1.00,    0.78
2019-01-18,    0.73,    1.49,    1.31
2019-01-22,   -1.76,   -1.75,   -1.47
2019-01-23,   -0.28,   -0.27,    0.24
2019-01-24,    0.66,    0.84,    0.15
2019-01-25,    1.27,    1.23,    0.85
2019-01-28,   -1.03,   -0.36,   -0.84
2019-01-29,   -0.27,   -0.08,   -0.19
2019-01-30,    1.10,    0.98,    1.60
2019-01-31,    0.80,    0.76,    0.93
2019-02-01,    0.16,    0.48,    0.11
2019-02-04,    1.04,    0.91,    0.71
2019-02-05,    0.34,    0.32,    0.46
2019-02-06,   -0.15,   -0.05,   -0.21
2019-02-07,   -1.15,   -0.82,   -0.93
2019-02-08,    0.19,    0.20,    0.09
2019-02-11,    0.86,    0.68,    0.07
2019-02-12,    1.32,    1.51,    1.36
2019-02-13,    0.51,    0.31,    0.28
2019-02-14,    0.19,    0.05,   -0.24
2019-02-15,    1.58,    1.30,    1.11
2019-02-19,    0.62,    0.27,    0.17
2019-02-20,    0.57,    0.40,    0.18
2019-02-21,   -0.38,   -0.31,   -0.36
2019-02-22,    0.99,    0.96,    0.60
2019-02-25,   -0.14,    0.09,    0.18
2019-02-26,   -0.65,   -0.75,   -0.06
2019-02-27,    0.26,    0.40,    0.06
2019-02-28,   -0.37,   -0.49,   -0.26
2019-03-01,    1.03,    0.88,    0.69
2019-03-04,   -0.88,   -0.85,   -0.44
2019-03-05,   -0.57,   -0.45,   -0.11
2019-03-06,   -2.28,   -1.62,   -0.68
2019-03-07,   -0.67,   -0.80,   -0.81
2019-03-08,   -0.18,   -0.24,   -0.21
2019-03-11,    1.83,    1.57,    1.47
2019-03-12,    0.07,    0.11,    0.28
2019-03-13,    0.50,    0.44,    0.71
2019-03-14,   -0.31,   -0.26,   -0.07
2019-03-15,    0.39,    0.28,    0.52
2019-03-18,    0.77,    0.72,    0.43
2019-03-19,   -0.48,   -0.55,    0.00
