Date,Lo 30,Med 40,Hi 30
2018-11-29,    0.07,   -0.14,   -0.40
2018-11-30,    0.37,    0.82,    0.99
2018-12-03,    1.41,    0.96,    1.23
2018-12-04,   -3.81,   -3.34,   -3.51
2018-12-06,   -0.56,   -0.36,    0.12
2018-12-07,   -2.04,   -2.14,   -2.68
2018-12-10,   -0.52,   -0.08,    0.45
2018-12-11,   -0.35,   -0.05,    0.04
2018-12-12,    0.74,    0.83,    0.58
2018-12-13,   -0.47,   -0.35,   -0.10
2018-12-14,   -1.63,   -1.58,   -2.21
2018-12-17,   -2.07,   -2.05,   -2.14
2018-12-18,   -0.66,   -0.09,    0.35
2018-12-19,   -1.17,   -1.58,   -1.69
2018-12-20,   -2.04,   -1.30,   -1.60
2018-12-21,   -2.11,   -2.12,   -2.20
2018-12-24,   -2.42,   -2.58,   -2.61
2018-12-26,    5.49,    4.80,    5.27
2018-12-27,    0.90,    0.81,    0.76
2018-12-28,    0.17,   -0.12,   -0.04
2018-12-31,    0.88,    0.76,    1.05
2019-01-02,    0.59,    0.23,    0.12
2019-01-03,   -2.40,   -2.01,   -2.88
2019-01-04,    3.75,    3.47,    3.56
2019-01-07,    1.83,    0.61,    0.92
2019-01-08,    0.79,    0.93,    1.17
2019-01-09,    0.71,    0.54,    0.48
2019-01-10,    0.52,    0.38,    0.39
2019-01-11,   -0.08,    0.10,   -0.08
2019-01-14,   -0.48,   -0.47,   -0.69
2019-01-15,    1.03,    1.18,    1.00
2019-01-16,    0.39,    0.63,    0.00
2019-01-17,    0.83,    0.72,    0.82
2019-01-18,    1.36,    1.28,    1.34
2019-01-22,   -1.93,   -1.36,   -1.50
2019-01-23,   -0.38,    0.15,    0.34
2019-01-24,    0.48,    0.36,    0.07
2019-01-25,    1.38,    0.85,    0.81
2019-01-28,   -0.77,   -0.71,   -0.93
2019-01-29,   -0.27,   -0.06,   -0.28
2019-01-30,    1.60,    1.20,    1.84
2019-01-31,    0.98,    1.10,    0.75
2019-02-01,    0.99,    0.21,   -0.18
2019-02-04,    0.35,    0.69,    0.90
2019-02-05,    0.22,    0.23,    0.69
2019-02-06,   -0.43,   -0.16,   -0.13
2019-02-07,   -1.41,   -0.90,   -0.82
2019-02-08,    0.03,    0.07,    0.09
2019-02-11,    0.50,    0.17,    0.05
2019-02-12,    1.54,    1.36,    1.35
2019-02-13,    0.33,    0.09,    0.43
2019-02-14,   -0.50,   -0.11,   -0.20
2019-02-15,    1.26,    1.23,    0.99
2019-02-19,    0.30,    0.28,    0.11
2019-02-20,    0.28,    0.19,    0.18
2019-02-21,   -0.69,   -0.54,   -0.11
2019-02-22,    0.11,    0.59,    0.84
